Hip,1.41,-9.82,0.33
Kne,-1.33,-9.8,-0.77
Ank,0,0,0
Hip,1.41,-9.82,0.33
Kne,-1.33,-9.8,-0.77
Ank,-1.67,-9.73,-1.62
Hip,1.41,-9.82,0.33
Kne,-1.33,-9.8,-0.77
Ank,-1.67,-9.73,-1.62
Hip,1.41,-9.82,0.33
Kne,-1.33,-9.8,-0.77
Ank,-1.67,-9.73,-1.62
Hip,0.61,-10.12,-0.63
Kne,-1.37,-9.98,-0.56
Ank,-1.67,-9.73,-1.62
Hip,0.61,-10.12,-0.63
Kne,-1.37,-9.98,-0.56
Ank,-2.34,-9.42,-2.32
Hip,0.61,-10.12,-0.63
Kne,-1.37,-9.98,-0.56
Ank,-2.34,-9.42,-2.32
Hip,0.61,-10.12,-0.63
Kne,-1.37,-9.98,-0.56
Ank,-2.34,-9.42,-2.32
Hip,0.67,-10.17,-0.12
Kne,-1.38,-9.94,-0.6
Ank,-2.34,-9.42,-2.32
Hip,0.67,-10.17,-0.12
Kne,-1.38,-9.94,-0.6
Ank,-2.67,-9.35,-2.63
Hip,0.67,-10.17,-0.12
Kne,-1.38,-9.94,-0.6
Ank,-2.67,-9.35,-2.63
Hip,0.67,-10.17,-0.12
Kne,-1.38,-9.94,-0.6
Ank,-2.67,-9.35,-2.63
Hip,0.14,-10.27,0.11
Kne,-1.37,-9.88,-0.67
Ank,-2.67,-9.35,-2.63
Hip,0.14,-10.27,0.11
Kne,-1.37,-9.88,-0.67
Ank,-3.28,-9.16,-2.62
Hip,0.14,-10.27,0.11
Kne,-1.37,-9.88,-0.67
Ank,-3.28,-9.16,-2.62
Hip,0.14,-10.27,0.11
Kne,-1.37,-9.88,-0.67
Ank,-3.28,-9.16,-2.62
Hip,0.81,-9.94,-0.27
Kne,-1.36,-9.94,-0.6
Ank,-3.28,-9.16,-2.62
Hip,0.81,-9.94,-0.27
Kne,-1.36,-9.94,-0.6
Ank,-3.49,-9.17,-2.32
Hip,0.81,-9.94,-0.27
Kne,-1.36,-9.94,-0.6
Ank,-3.49,-9.17,-2.32
Hip,0.81,-9.94,-0.27
Kne,-1.36,-9.94,-0.6
Ank,-3.49,-9.17,-2.32
Hip,1.83,-9.9,0
Kne,-1.4,-9.88,-0.73
Ank,-3.49,-9.17,-2.32
Hip,1.83,-9.9,0
Kne,-1.4,-9.88,-0.73
Ank,-2.12,-9.02,-2.38
Hip,1.83,-9.9,0
Kne,-1.4,-9.88,-0.73
Ank,-2.12,-9.02,-2.38
Hip,1.83,-9.9,0
Kne,-1.4,-9.88,-0.73
Ank,-2.12,-9.02,-2.38
Hip,1.33,-10.04,0.43
Kne,-1.43,-9.91,-0.75
Ank,-2.12,-9.02,-2.38
Hip,1.33,-10.04,0.43
Kne,-1.43,-9.91,-0.75
Ank,-2.02,-9.28,-1.89
Hip,1.33,-10.04,0.43
Kne,-1.43,-9.91,-0.75
Ank,-2.02,-9.28,-1.89
Hip,1.33,-10.04,0.43
Kne,-1.43,-9.91,-0.75
